,popularity,budget,vote_average,Tomatoes,Profit_Margin,Success
She Wore a Yellow Ribbon,7.715087,1600000,7.1,92,0.703703704,1
Mulan,21.180857,90000000,7.6,72,0.704258922,1
Cell 211,8.075698,5700000,7.3,98,0.704670603,1
Pina,12.452985,4317946,7.3,95,0.704752316,1
The Royal Tenenbaums,9.707542,21000000,7.4,81,0.706052176,1
Carol,8.364201,11800000,7.3,94,0.706993434,1
Primal Fear,10.326213,30000000,7.4,77,0.707648452,1
Die Hard 2,18.785984,70000000,6.6,70,0.708371116,1
Kick-Ass,17.26045,28000000,7.1,76,0.70890613,1
This Is England,2.514638,2380000,7.4,93,0.708923477,1
Spider-Man 3,27.614265,258000000,5.9,63,0.710395985,1
Pirates of the Caribbean: Dead Men Tell No Tales,133.82782,230000000,6.6,30,0.710397481,1
Elmer Gantry,6.409512,3000000,7.3,94,0.711538462,1
To Catch a Thief,5.490505,2500000,7.1,92,0.714285714,1
Batman Returns,15.001681,80000000,6.6,81,0.714285714,1
Minority Report,20.666063,102000000,7.1,90,0.715380285,1
Raising Victor Vargas,1.178723,800000,7.8,96,0.715920793,1
The Wind That Shakes the Barley,6.752524,6500000,7.1,90,0.716021019,1
The Amazing Spider-Man 2,26.23687,200000000,6.5,51,0.716600454,1
My Name Is Khan,11.264586,12000000,7.7,83,0.716615941,1
The Reader,7.931732,32000000,7.2,63,0.716862493,1
Gandhi,12.383755,22000000,7.4,89,0.716997718,1
The Hateful Eight,20.328822,44000000,7.6,74,0.717514336,1
The Return of the Living Dead,6.258984,4000000,7.3,91,0.719041933,1
The Bourne Identity,21.040126,60000000,7.3,84,0.719671,1
Dead Man Walking,6.891317,11000000,7.3,95,0.720554263,1
L.A. Confidential,10.989442,35000000,7.7,99,0.722699663,1
Eternal Sunshine of the Spotless Mind,12.906327,20000000,7.9,92,0.723214521,1
Letters from Iwo Jima,11.649588,19000000,7.2,91,0.723327408,1
The Terminal,14.092373,60000000,7.1,61,0.726548397,1
The Nun's Story,3.473993,3500000,7.4,83,0.7265625,1
The Kite Runner,5.970067,20000000,7.3,65,0.727059512,1
Shutter Island,15.813629,80000000,7.8,68,0.728633441,1
Watership Down,5.602126,1000000,7.3,79,0.730731699,1
Monsters University,16.267502,200000000,7,80,0.731023582,1
Michael Clayton,7.857078,25000000,6.6,91,0.731159193,1
Now You See Me 2,39.540653,90000000,6.7,34,0.731264136,1
Before Midnight,11.30324,3000000,7.3,98,0.731578909,1
Interview with the Vampire,11.970205,60000000,7.2,64,0.731741197,1
Lone Survivor,10.855502,40000000,7.4,75,0.73207516,1
Harry Potter and the Half-Blood Prince,19.083723,250000000,7.4,84,0.732322353,1
Into the Wild,15.423538,15000000,7.8,83,0.733357708,1
Sleepers,9.198283,44000000,7.3,73,0.734324039,1
Thor: The Dark World,34.905447,170000000,6.8,66,0.736258854,1
The Hustler,9.333533,2000000,7.6,94,0.736842105,1
Breakfast at Tiffany's,10.879289,2500000,7.6,88,0.736842105,1
A Time to Kill,13.309013,40000000,7.5,68,0.737301839,1
Thank You for Smoking,9.369527,6500000,7.1,86,0.737834608,1
Harry Potter and the Deathly Hallows: Part 1,23.300362,250000000,7.5,77,0.738029485,1
The Hobbit: The Desolation of Smaug,20.644776,250000000,7.6,74,0.739148581,1
The Bourne Supremacy,20.40426,75000000,7.2,82,0.740034858,1
Cars,18.907948,120000000,6.6,74,0.740250266,1
The Name of the Rose,11.469751,20000000,7.2,75,0.740932642,1
Mildred Pierce,4.497049,1453000,7.4,88,0.742284498,1
The Usual Suspects,16.302466,6000000,8.1,88,0.74294786,1
The Lego Batman Movie,17.070748,80000000,7.2,90,0.743548961,1
Gallipoli,7.44658,3000000,7.1,91,0.744463373,1
The Wolf of Wall Street,16.382422,100000000,7.9,63,0.744898411,1
The Secret World of Arrietty,8.636052,37000000,7.4,94,0.745828194,1
Inside Job,10.30535,2000000,7.7,98,0.745919531,1
Big Hero 6,213.849907,165000000,7.8,90,0.746973435,1
Sin City,15.010525,40000000,7.2,77,0.748005812,1
The Notebook,15.239013,29000000,7.7,67,0.749141955,1
Casino Royale,23.065078,150000000,7.3,94,0.74960185,1
Ant-Man,26.882388,130000000,7,83,0.749668776,1
Total Recall,12.954444,65000000,7.1,83,0.751260841,1
The Hundred-Foot Journey,14.466789,22000000,7.3,68,0.752477534,1
The Fly,13.534589,15000000,7.1,95,0.752594292,1
San Francisco,13.770164,1300000,7,92,0.753461028,1
RoboCop,13.485583,13000000,7.1,91,0.754716981,1
The Hobbit: An Unexpected Journey,23.253089,250000000,7,64,0.755166853,1
Interstellar,32.213481,165000000,8.1,72,0.755599011,1
National Lampoon's Vacation,7.747432,15000000,7.1,93,0.755698543,1
Inside Man,13.393548,45000000,7.3,86,0.755933863,1
The Man Who Knew Too Much,12.547763,2500000,7.3,87,0.756097561,1
Doctor Strange,43.847654,165000000,7.1,89,0.756536046,1
Trainspotting,19.348466,4000000,7.8,90,0.757444631,1
Bridge of Spies,13.707888,40000000,7.2,91,0.758276533,1
Om Shanti Om,4.384156,9100000,7.2,79,0.758668341,1
Stop Making Sense,2.359569,1200000,8.7,100,0.758983973,1
Ratatouille,20.50803,150000000,7.5,96,0.759508558,1
The Wood,4.414077,6000000,7.1,61,0.760571181,1
Chef,8.720309,11000000,7.2,87,0.760702759,1
Dawn of the Planet of the Apes,75.385211,170000000,7.3,91,0.760780553,1
Veer-Zaara,3.319516,7000000,7.5,93,0.761785817,1
Up,19.330884,175000000,7.8,98,0.761936854,1
How to Train Your Dragon 2,12.256689,145000000,7.6,92,0.761952859,1
The Nightmare Before Christmas,17.730913,18000000,7.6,95,0.762013081,1
Captain America: The Winter Soldier,18.717704,170000000,7.6,90,0.762160114,1
Maleficent,19.467404,180000000,7,54,0.762701966,1
My Fair Lady,12.494394,17000000,7.4,94,0.764120611,1
Indiana Jones and the Kingdom of the Crystal Skull,12.577266,185000000,5.7,78,0.76482135,1
Django Unchained,19.785025,100000000,7.8,87,0.764909575,1
Moonrise Kingdom,8.692433,16000000,7.6,93,0.765612981,1
The Blues Brothers,10.076901,27000000,7.5,72,0.765685796,1
The Danish Girl,11.245661,15000000,7.4,66,0.766324286,1
Moana,9.143457,150000000,7.3,87,0.766731011,1
The Impossible,10.027434,42000000,7.6,81,0.767021471,1
Atonement,8.913338,30000000,7.4,83,0.767920522,1
Guardians of the Galaxy Vol. 2,185.330992,200000000,7.6,85,0.768361986,1
Pride & Prejudice,14.439083,28000000,7.8,87,0.768877635,1
Arrival,30.83786,47000000,7.2,94,0.768914798,1
Zombieland,11.063029,23600000,7.2,89,0.769511852,1
Underworld,20.624333,22000000,6.6,89,0.770135256,1
Go,8.344282,6500000,7,91,0.771542023,1
Pan's Labyrinth,26.817754,19000000,7.6,95,0.771794321,1
Hacksaw Ridge,21.037699,40000000,7.8,84,0.771822802,1
The Truman Show,13.155901,60000000,7.8,95,0.772828984,1
Four Lions,11.934045,967686,7.1,83,0.773375644,1
Memento,15.450789,9000000,8.1,93,0.773431557,1
Tremors,15.750026,11000000,6.6,90,0.773532076,1
The Mummy Returns,16.945657,98000000,6.4,50,0.773678993,1
The Hunt,8.462801,3800000,7.9,92,0.773809524,1
Kung Fu Panda 2,11.481921,150000000,9,81,0.774670663,1
John Wick,183.870374,20000000,7,86,0.774677493,1
A Streetcar Named Desire,7.301719,1800000,7.6,97,0.775,1
Sabrina,7.359741,2238813,7.4,63,0.7761187,1
Coal Miner's Daughter,2.847277,15000000,7.2,85,0.776728524,1
War of the Worlds,19.929377,132000000,6.2,75,0.776928823,1
Fantastic Beasts and Where to Find Them,41.051421,180000000,7.2,74,0.777597201,1
Who's Afraid of Virginia Woolf?,5.564294,7500000,7.8,96,0.777690099,1
A Perfect World,8.040589,30000000,7.2,79,0.777993205,1
You Can't Take It With You,4.370592,1644736,7.2,95,0.778728151,1
Nightcrawler,21.277073,8500000,7.6,95,0.780345961,1
Remember the Titans,6.587726,30000000,7.4,72,0.78055206,1
Inglourious Basterds,16.89564,70000000,7.9,89,0.780654374,1
The Birds,11.591462,2500000,7.3,94,0.78076962,1
Source Code,9.796962,32000000,7.1,92,0.782804492,1
Quest for Fire,8.341166,12000000,7.2,88,0.782846927,1
Captain America: Civil War,145.882135,250000000,7.1,90,0.783231574,1
Lolita,9.551293,2000000,7.3,69,0.783783784,1
Lawrence of Arabia,10.893332,15000000,7.8,94,0.785700157,1
Spellbound,5.47596,1500000,7.3,97,0.785714286,1
Finding Neverland,15.529604,25000000,7.2,83,0.785897599,1
Pirates of the Caribbean: The Curse of the Black Pearl,47.326665,140000000,7.5,80,0.786263205,1
Frida,11.283472,12000000,7.3,76,0.786850351,1
Who Framed Roger Rabbit,16.78596,70000000,7.2,97,0.787752699,1
Paddington,15.686837,55000000,7,97,0.787814558,1
The Green Mile,19.96678,60000000,8.2,79,0.789177793,1
Run Lola Run,7.765379,1530000,7.2,93,0.789476146,1
The Big Short,13.143061,28000000,7.3,89,0.790020745,1
The Guns of Navarone,8.522673,6000000,7.3,92,0.792387543,1
Groundhog Day,12.989627,14600000,7.4,94,0.794096414,1
Kung Fu Panda,16.897541,130000000,6.9,87,0.794220626,1
Raising Arizona,14.011415,6000000,7.2,90,0.794381685,1
Beetlejuice,10.627364,15000000,7.1,85,0.795435947,1
"Monsters, Inc.",26.419962,115000000,7.5,96,0.795670436,1
American Psycho,13.686715,7000000,7.3,68,0.795719232,1
50/50,11.869481,8000000,7,93,0.795854744,1
Inside Out,23.985587,175000000,7.9,98,0.795944823,1
The Matrix Reloaded,40.229317,150000000,7.2,73,0.796912997,1
Erin Brockovich,10.135446,52000000,7.1,85,0.797090026,1
Fast & Furious 6,105.657637,160000000,6.7,70,0.797129342,1
Cure,3.111281,20000,7.4,93,0.797979798,1
The Help,7.486118,25000000,7.9,76,0.798828577,1
Oldboy,10.616859,3000000,8,82,0.799733044,1
Shrek the Third,89.072479,160000000,6,41,0.799739202,1
Life in a Day,4.955542,45202,7.3,80,0.79986806,1
Children of Heaven,7.523517,180000,7.8,83,0.8,1
"The Good, the Bad and the Ugly",16.788787,1200000,8.1,97,0.8,1
Chinatown,12.29227,6000000,7.9,99,0.8,1
Fast Five,1.420361,125000000,7.1,78,0.800363395,1
The Longest Day,10.770928,10000000,7.3,87,0.800399202,1
Life of Brian,10.714173,4000000,7.7,96,0.800450135,1
Avengers: Age of Ultron,37.37942,280000000,7.3,76,0.800768988,1
Downfall,7.69224,18339750,7.7,90,0.801046117,1
Die Hard,16.640522,28000000,7.5,94,0.801091095,1
Kung Fu Hustle,8.636632,20000000,7.2,90,0.801812317,1
In the Name of the Father,7.405895,13000000,7.6,94,0.802422188,1
Kill Bill: Vol. 2,21.533072,30000000,7.7,84,0.802838418,1
Life of Pi,14.045042,120000000,7.2,86,0.802961025,1
Kingsman: The Secret Service,28.224212,81000000,7.6,75,0.804513822,1
JFK,13.813146,40000000,7.5,84,0.805263246,1
Finding Dory,14.477677,200000000,6.8,94,0.805555454,1
Inception,29.108149,160000000,8.1,87,0.806185766,1
Whale Rider,11.040186,8000000,7.1,91,0.806763285,1
Rise of the Planet of the Apes,41.613762,93000000,7,82,0.807397663,1
Transformers: Age of Extinction,18.495599,210000000,7,68,0.807587485,1
Dunkirk,30.938854,100000000,7.5,60,0.80764679,1
Terminator 2: Judgment Day,22.661695,100000000,7.7,92,0.807692308,1
The Elephant Man,8.405672,5000000,7.9,92,0.807772629,1
Argo,14.238234,44500000,7.1,96,0.80845726,1
A Beautiful Mind,11.93646,60000000,7.7,74,0.808638285,1
Rang De Basanti,4.102052,2200000,7.2,88,0.808731428,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9.80398,1800000,8,98,0.809327528,1
Top Hat,7.122093,609000,7.4,100,0.809806371,1
Rogue One: A Star Wars Story,36.567575,200000000,7.4,84,0.810616332,1
Ocean's Eleven,12.114932,85000000,7.2,83,0.811411658,1
Pirates of the Caribbean: Dead Man's Chest,29.455314,200000000,7,53,0.812322847,1
Toy Story 3,16.96647,200000000,7.6,98,0.812553253,1
Gifted,16.025911,7000000,7.7,73,0.813139222,1
Cool Hand Luke,9.718713,3000000,7.7,100,0.815017759,1
The Dark Knight,123.167259,185000000,8.3,94,0.815839485,1
Bhaag Milkha Bhaag,4.342418,4600000,7.3,74,0.816,1
Predator,18.495694,18000000,7.3,80,0.816766941,1
My Week with Marilyn,12.203066,6400000,6.9,83,0.817443793,1
Talk to Her,6.648278,9285469,7.5,91,0.817937514,1
The Great Dictator,9.241748,2000000,8.1,92,0.818181818,1
Wonder Woman,294.337037,149000000,7.2,93,0.818421216,1
Blue Jasmine,12.61244,18000000,7,91,0.818559755,1
Toy Story 2,17.547693,90000000,7.3,100,0.819047054,1
Skyfall,20.309585,200000000,6.9,92,0.819585934,1
Battle Royale,12.701098,4500000,7.3,88,0.82,1
The Intern,15.651705,35000000,7.1,59,0.820111228,1
Waltz with Bashir,7.636625,2000000,7.8,96,0.820238438,1
The Pursuit of Happyness,20.981716,55000000,7.7,67,0.820892,1
The Warriors,11.457298,4000000,7.4,88,0.822143483,1
The Social Network,16.972995,40000000,7.1,96,0.822159239,1
Crazy Heart,9.347931,7000000,7.2,90,0.822616129,1
Brooklyn,7.991613,11000000,7.2,97,0.822798263,1
Match Point,9.020372,15000000,7.2,77,0.824163198,1
The Terrorist,0.154526,24554,8.1,84,0.82464059,1
Do the Right Thing,10.465403,6500000,7.6,91,0.825715982,1
Transformers: Dark of the Moon,70.503505,195000000,6.1,35,0.826473396,1
Boys Don't Cry,6.536006,2000000,7.2,90,0.82669889,1
When Harry Met Sally...,8.34322,16000000,7.3,91,0.827629942,1
The Grand Budapest Hotel,14.442048,30000000,8,92,0.828179007,1
My Cousin Vinny,7.922216,11000000,7.3,87,0.828362482,1
Strangers on a Train,15.41773,1200000,7.6,98,0.828571429,1
The Martian,25.62993,108000000,7.6,91,0.828615469,1
Cat on a Hot Tin Roof,11.794846,3000000,7.6,97,0.82925756,1
Room,12.443291,6000000,8.1,93,0.830516891,1
Spider-Man,29.413341,139000000,6.8,90,0.830840266,1
Before Sunset,7.048957,2700000,7.6,94,0.831172075,1
Harry Potter and the Goblet of Fire,24.903058,150000000,7.5,88,0.832574531,1
Yeh Jawaani Hai Deewani,4.262544,7700000,7.1,67,0.832608696,1
Limitless,12.114955,27000000,7.1,69,0.833178308,1
Mean Streets,8.212399,500000,7.2,96,0.833333333,1
Fast Times at Ridgemont High,14.658885,9600000,7,78,0.833904701,1
Kill Bill: Vol. 1,25.261865,30000000,7.7,85,0.834207429,1
Gone Girl,154.801009,61000000,7.9,88,0.834836217,1
Das Boot,8.80338,14000000,7.9,98,0.835294118,1
Superbad,16.205105,20000000,7,88,0.83534111,1
Harry Potter and the Prisoner of Azkaban,28.460276,130000000,7.7,90,0.835402317,1
Iron Man 3,40.721243,200000000,7.1,79,0.835450536,1
Back to the Future Part III,13.043999,40000000,7.1,80,0.836419272,1
Love Actually,10.586815,40000000,7,64,0.836689211,1
Shrek 2,16.22986,150000000,6.7,89,0.836927941,1
Network,13.180457,3800000,7.8,92,0.839593933,1
Harry Potter and the Order of the Phoenix,21.3643,150000000,7.4,78,0.840121548,1
Hannah and Her Sisters,9.57874,6400000,7.6,91,0.840335459,1
The Crow,15.799336,15000000,7.3,84,0.840425532,1
Mystic River,12.602438,25000000,7.6,88,0.840583612,1
American Hustle,16.478036,40000000,7.2,92,0.840746458,1
As Good as It Gets,9.374049,50000000,7.2,86,0.840854553,1
The Thin Man,10.573867,226408,7.4,98,0.840893886,1
The Dinner Game,6.122739,12500000,7.7,74,0.840965926,1
The Bourne Ultimatum,18.173269,70000000,7.3,92,0.841923703,1
"It's a Mad, Mad, Mad, Mad World",13.266545,9400000,7,71,0.843333333,1
Mr. Smith Goes to Washington,8.168694,1500000,7.9,97,0.84375,1
Shane,6.63816,3100000,7.3,100,0.845,1
Giant,10.864284,5400000,7.5,88,0.845714286,1
The Hunger Games: Catching Fire,25.309139,130000000,7.4,90,0.846593814,1
Stand by Me,15.206957,8000000,7.8,92,0.846999509,1
2001: A Space Odyssey,22.494622,10500000,7.9,91,0.847161572,1
Up in the Air,8.338562,25000000,6.7,90,0.84725362,1
Men in Black,15.781024,90000000,7.2,91,0.84729989,1
To Kill a Mockingbird,14.284787,2000000,7.9,93,0.847675289,1
Volver,6.302926,12899867,7.3,91,0.84926964,1
True Grit,10.730765,38000000,7.2,89,0.849371877,1
The Hunt for Red October,15.91126,30000000,7.2,88,0.84939759,1
Walk the Line,11.476443,28000000,7.3,82,0.849816736,1
Hot Fuzz,13.535195,12000000,7.4,91,0.851068165,1
Y Tu Mamá También,13.962548,5000000,7.3,92,0.851264366,1
Love and Death,5.165666,3000000,7.5,100,0.851291843,1
Pitch Perfect,11.03595,17000000,7.3,81,0.852622998,1
Niagara,14.605464,1250000,6.7,82,0.852941176,1
Gravity,18.50194,105000000,7.3,96,0.853432343,1
Apollo 13,18.761467,52000000,7.3,96,0.853619236,1
The Incredibles,22.220214,92000000,7.4,97,0.854301762,1
No Country for Old Men,15.565484,25000000,7.7,93,0.854312354,1
Invasion of the Body Snatchers,5.219641,3500000,7.1,92,0.854448872,1
End of Watch,7.45279,7000000,7.2,85,0.854549637,1
Saving Private Ryan,21.758054,70000000,7.9,94,0.854723834,1
The Avengers,89.887648,220000000,7.4,89,0.855221049,1
Hot Shots!,11.026793,26000000,6.4,81,0.856429869,1
Mickey's Christmas Carol,11.742804,3000000,7.6,100,0.857142857,1
Bajrangi Bhaijaan,6.31224,14000000,7.7,88,0.857142857,1
The Shallows,13.689175,17000000,6.2,78,0.857263713,1
District 9,11.589835,30000000,7.3,90,0.857698248,1
The Simpsons Movie,14.302911,75000000,6.9,87,0.8577036,1
Ida,8.651053,2159280,7.1,96,0.858855413,1
Million Dollar Baby,14.471373,30000000,7.7,90,0.861600409,1
About Time,11.213913,12000000,7.8,70,0.862228035,1
A Man for All Seasons,6.997888,3900000,7.5,89,0.862433862,1
West Side Story,8.389903,6000000,7,92,0.862564435,1
Knocked Up,9.058516,30000000,6.9,89,0.863061545,1
The Matrix,33.366332,63000000,7.9,88,0.864082767,1
The Squid and the Whale,10.952762,1500000,7.3,92,0.864842107,1
The Wrestler,7.903956,6000000,7.3,98,0.865783807,1
Patton,14.382289,12000000,7.3,90,0.86636971,1
Shaun of the Dead,14.902948,4000000,7.5,92,0.866841513,1
Paris is Burning,4.101295,500000,8.2,98,0.867711569,1
Dilwale Dulhania Le Jayenge,34.457024,13200000,9.1,100,0.868,1
The Bridges of Madison County,5.951077,24000000,7.3,90,0.868143907,1
Bullitt,7.01973,5500000,7,98,0.869979043,1
The Lego Movie,16.418133,60000000,7.5,96,0.872112048,1
Despicable Me,22.274502,69000000,7.1,80,0.873048345,1
Furious 7,27.275687,190000000,7.3,81,0.873858868,1
Begin Again,10.289628,8000000,7.3,83,0.873945994,1
Philadelphia,13.373006,26000000,7.6,81,0.874200715,1
Menace II Society,5.260924,3500000,7.2,84,0.874551971,1
Roman Holiday,11.954806,1500000,7.8,95,0.875,1
The Last King of Scotland,9.424157,6000000,7.4,87,0.875072796,1
Lethal Weapon,13.183804,15000000,7,80,0.875215386,1
The Girl with the Dragon Tattoo,9.858687,13000000,7.4,85,0.875414107,1
Bad Education,7.66414,5000000,7.1,94,0.875828787,1
Friday,14.56965,3500000,7,76,0.875956543,1
Star Trek II: The Wrath of Khan,7.160236,12000000,7.3,86,0.876033058,1
Shrek,17.987728,60000000,7.3,88,0.876137782,1
(500) Days of Summer,16.376657,7500000,7.2,85,0.876487775,1
Gran Torino,14.794228,33000000,7.8,81,0.877758866,1
Sense and Sensibility,10.673167,16500000,7.2,97,0.877777778,1
All About My Mother,10.000915,8272296,7.4,98,0.878119697,1
Ice Age: The Meltdown,16.646029,80000000,6.5,57,0.878960412,1
The African Queen,6.636872,1300000,7.4,96,0.879069767,1
The Towering Inferno,7.469056,14000000,7.1,67,0.879310345,1
Back to the Future Part II,13.689855,40000000,7.4,63,0.879518072,1
All the President's Men,12.421754,8500000,7.6,94,0.879603399,1
A Fish Called Wanda,11.400353,7500000,7.1,96,0.879987926,1
The Apartment,11.994281,3000000,8.1,93,0.88,1
Manchester by the Sea,12.821257,9000000,7.5,96,0.880043128,1
Philomena,6.927182,12000000,7.4,91,0.880155644,1
First Blood,14.778884,15000000,7.2,86,0.88020404,1
Snatch,14.014025,10000000,7.7,74,0.880322467,1
The Fugitive,10.08937,44000000,7.2,96,0.880718646,1
DodgeBall: A True Underdog Story,11.967379,20000000,6.7,71,0.880755279,1
The Dirty Dozen,15.640007,5400000,7.5,81,0.880794702,1
Sing,20.045673,75000000,6.8,71,0.881412373,1
Star Wars: The Force Awakens,31.626013,245000000,7.5,93,0.881540856,1
Babe,14.404764,30000000,6,97,0.881952464,1
Time Bandits,9.841623,5000000,7,90,0.881979666,1
A Patch of Blue,2.46167,800000,7.6,89,0.88221437,1
Frozen,24.248243,150000000,7.3,90,0.882280833,1
Stripes,11.341505,10000000,6.5,88,0.882766706,1
The English Patient,15.564161,27000000,7,86,0.883608862,1
The Outlaw Josey Wales,5.849522,3700000,7.4,91,0.883647799,1
Fargo,12.61469,7000000,7.7,94,0.88451127,1
Some Like It Hot,11.845107,2883848,8,94,0.88464608,1
Breaking Away,4.806374,2300000,7.4,95,0.885,1
Marty,11.589081,343000,7.2,96,0.885666667,1
Harry Potter and the Chamber of Secrets,29.741452,100000000,7.4,82,0.885934397,1
The Lost Weekend,8.731331,1250000,7.4,97,0.886363636,1
Boyz n the Hood,6.866506,6500000,7.4,96,0.886964521,1
Bowling for Columbine,11.393859,4000000,7.3,95,0.887528208,1
The Artist,11.440948,15000000,7.3,95,0.88758391,1
Dirty Harry,10.255315,4000000,7.4,89,0.888814765,1
The Bridge on the River Kwai,8.851646,3000000,7.7,96,0.889705882,1
Mr. Bean's Holiday,40.19853,25000000,6.1,51,0.891179604,1
The Hunger Games,20.031667,75000000,6.9,84,0.891494734,1
American Sniper,19.228561,58800000,7.4,72,0.891574414,1
Hidden Figures,16.816834,25000000,7.8,93,0.891633589,1
PK,12.58752,13000000,7.7,78,0.891666667,1
Ice Age: Continental Drift,45.26958,95000000,6.2,37,0.891706395,1
Fiddler on the Roof,9.227244,9000000,7.4,84,0.891962399,1
City of God,14.95927,3300000,8.2,91,0.892303871,1
Easy A,15.138144,8000000,6.7,85,0.893265457,1
The Lord of the Rings: The Fellowship of the Ring,32.070725,93000000,8,91,0.893271315,1
An American Tail,11.928545,9000000,6.6,72,0.89354404,1
"Good Morning, Vietnam",9.023282,13000000,7.1,89,0.895095615,1
Alien,23.37742,11000000,7.9,98,0.895170007,1
Annie Hall,18.146043,4000000,7.8,97,0.895428732,1
The Color Purple,11.573562,15000000,7.7,77,0.89746535,1
Howl's Moving Castle,16.136048,24000000,8.2,87,0.897746353,1
Silver Linings Playbook,14.488111,21000000,7,92,0.897928787,1
Ghostbusters,22.089729,30000000,7.3,95,0.898378275,1
